parameter,value,lambda1_det_100s,lambda1_det_15s
damping,0.055,0.043169312411919236,0.1350020777899772
damping,0.06,0.035401975037530065,0.11029315344057977
damping,0.07,0.023805772652849555,0.03775985795073211
damping,0.08,0.0959667454008013,0.20630463701672852
damping,0.09,0.19089576695114374,0.12852092133834958
damping,0.1,0.17776697454974055,0.10462795896455646
damping,0.2,0.056678823893889785,0.05163566907867789
damping,0.4,0.39437490375712514,-0.03815362532623112
coupling,0.2,0.19970193854533136,0.10417261649854481
coupling,0.3,0.14406001684255898,0.10436139418743551
coupling,0.4,0.12508695130236447,0.10453459830023348
coupling,0.5,0.17776697454974055,0.10462795896455646
coupling,0.6,0.07722932426258922,0.10473064845427871
coupling,0.8,0.2687384160235524,0.10779452347196639
coupling,1.0,0.029270127648487687,0.11085841082967818
length,0.5,1.6372622807975858,0.5590132661163807
length,1.0,0.17776697454974055,0.10462795896455646
length,2.0,0.12828000308945775,0.16500215930864215
length,4.0,0.1160396437626332,-0.0051756142638623714
mass,0.5,0.029270127648487687,0.11085841292515397
mass,1.0,0.17776697454974055,0.10462795896455646
mass,1.5,0.09160603932105005,0.1044247371610254
mass,2.0,0.19510043179616332,0.1042642267420888
default,,0.17776697454974055,0.10462795896455646
