trial,lambda_min_nats_per_s,lambda_max_nats_per_s,highband_frac,lowband_mean_nats_per_s
1,-0.068817149615,0.616931782337,0.0000,0.147500788447
2,-0.098586509004,0.597114494070,0.0000,0.153909710329
3,-0.096296146279,0.591125751846,0.0000,0.148150128393
4,-0.090488756308,0.688524190336,0.0000,0.151054979991
5,-0.072133029811,0.875122598605,0.0000,0.149882660610
6,-0.098436126951,0.720207124483,0.0000,0.149198230785
7,-0.098302547587,0.486892265501,0.0000,0.150233786563
8,-0.187803986482,0.606105494080,0.0000,0.152951126044
9,-0.070993111935,0.525509973057,0.0000,0.150954888690
10,-0.066043971572,0.590762193780,0.0000,0.152920407156
