parameter,value,lambda_min_t15,lambda_mean_t15,highband_frac_t15,lambda1_det_100s,lambda1_det_15s,escape_time_s,margin_100s_ok
damping,0.055,-0.04943543882109225,0.18187162402831017,0.0,0.043169312411919236,0.1350020777899772,193.5,True
damping,0.06,-0.024963172851130366,0.17533945391513409,0.0,0.035401975037530065,0.11029315344057977,175.9,True
damping,0.07,-0.02770076598972082,0.17560519712045788,0.0,0.023805772652849555,0.03775985795073211,158.3,True
damping,0.08,-0.052170317620038986,0.1676477400176227,0.0,0.0959667454008013,0.20630463701672852,151.2,True
damping,0.09,-0.050410405499860644,0.15489933355757968,0.0,0.19089576695114374,0.12852092133834958,129.0,True
damping,0.1,-0.08205177681520581,0.15546210013655945,0.0,0.17776697454974055,0.10462795896455646,129.3,True
damping,0.2,-0.10955083346925676,0.08452475779037923,0.0,0.056678823893889785,0.05163566907867789,99.1,False
damping,0.4,-0.2047823085449636,0.004905795503873378,0.0,0.39437490375712514,-0.03815362532623112,94.6,False
coupling,0.2,-0.07834732276387513,0.146365544390399,0.0,0.19970193854533136,0.10417261649854481,203.9,True
coupling,0.3,-0.17597654275596142,0.1459470078246668,0.0,0.14406001684255898,0.10436139418743551,163.6,True
coupling,0.4,-0.07376469438895583,0.1478313815998845,0.0,0.12508695130236447,0.10453459830023348,132.4,True
coupling,0.5,-0.06911681336350739,0.15072816193383187,0.0,0.17776697454974055,0.10462795896455646,129.3,True
coupling,0.6,-0.04571898723952472,0.15148624045867473,0.0,0.07722932426258922,0.10473064845427871,112.6,True
coupling,0.8,-0.06948704086244106,0.157298878074158,0.0,0.2687384160235524,0.10779452347196639,98.4,False
coupling,1.0,-0.05099558597430587,0.15961354477051645,0.0,0.029270127648487687,0.11085841082967818,127.3,True
length,0.5,0.06084110867232084,0.3117378487503156,0.0,1.6372622807975858,0.5590132661163807,6.1,False
length,1.0,-0.05479237693361938,0.155044386100024,0.0,0.17776697454974055,0.10462795896455646,129.3,True
length,2.0,-0.16964986780658364,0.1092074063597247,0.0,0.12828000308945775,0.16500215930864215,337.1,True
length,4.0,-0.17611042060889304,0.08727754673361779,0.0,0.1160396437626332,-0.0051756142638623714,,False
mass,0.5,-0.010712120216339827,0.16659727412555367,0.0,0.029270127648487687,0.11085841292515397,127.3,True
mass,1.0,-0.09311072621494532,0.14719823070475832,0.0,0.17776697454974055,0.10462795896455646,129.3,True
mass,1.5,-0.12330878782086074,0.1538125900379382,0.0,0.09160603932105005,0.1044247371610254,150.6,True
mass,2.0,-0.07451427169144154,0.15095380611298606,0.0,0.19510043179616332,0.1042642267420888,180.2,True
default,,-0.048767549684271216,0.14742984822625294,0.0,0.17776697454974055,0.10462795896455646,129.3,True
