sample,lambda_1,lambda_2,lambda_3,KS
1,0.24145133257843554,0.15332495118491352,0.9163309887517244,1.3111072725150734
2,0.27551607484929264,0.03598292381502688,0.8231212708633393,1.1346202695276588
3,0.38386442977935076,0.03486364195123315,0.9412774560041726,1.3600055277347565
4,0.24164840788580477,0.15770758711732924,0.5099112240131944,0.9092672190163285
5,0.31304853479377925,0.026472304249182343,0.8259125016629696,1.1654333407059312
6,0.30660057510249317,0.04604534478858113,0.47890065400861204,0.8315465738996863
7,0.3513869608286768,0.050972974859178066,0.39320425828918815,0.795564193977043
8,0.3058327112812549,0.01586070330813527,0.7449688161723316,1.0666622307617217
9,0.24899570480920374,0.08423488517291844,0.4521257374435663,0.7853563274256885
10,0.19891043729148805,0.10998359927907586,0.6337206854950637,0.9426147220656276
11,0.31435752543620765,0.15712221013382077,0.3953627261798829,0.8668424617499113
12,0.2518315964844078,0.03277334361337125,0.8525721332989633,1.1371770733967423
13,0.286879702238366,0.09688181569799781,0.5624690400436521,0.9462305579800159
14,0.31319888727739453,0.03656864073127508,0.5453715852927417,0.8951391133014113
15,0.31374367605894804,0.04208372579887509,0.6624574735760689,1.018284875433892
16,0.308327435515821,0.06808920833282173,0.681026587029919,1.0574432308785617
17,0.3250780946109444,0.0663390310946852,0.5200496003963053,0.9114667261019349
18,0.2795697287656367,0.07384858164004982,1.0946377995423973,1.4480561099480838
19,0.25931044458411634,0.09357172483578324,0.7318080316763371,1.0846902010962367
20,0.24268303159624338,0.0729220004286617,0.6980930338613689,1.013698065886274
21,0.28989984025247395,0.028942422242835164,0.5025725637096912,0.8214148262050003
22,0.28277585096657276,0.08086097030900419,0.7910485670436174,1.1546853883191943
23,0.3551869860384613,0.054405708564445376,0.7982900955248624,1.2078827901277691
24,0.3466289716307074,0.02318611997179687,0.8315899926237762,1.2014050842262805
25,0.29606542456895113,0.025021698093041778,0.8976877627428621,1.218774885404855
26,0.2518239882774651,0.07300613401457667,0.4561308384872973,0.7809609607793391
27,0.3340636801440269,0.018690058030188084,0.8438976560719311,1.196651394246146
28,0.22034641564823687,0.041195440804585814,0.7491761851124465,1.0107180415652692
29,0.2997380760498345,0.05408205813728273,0.6299336238298565,0.9837537580169737
30,0.2894614350516349,0.11569110350683331,0.40016812225803733,0.8053206608165056
31,0.27037415793165565,0.06900951755233109,0.6071622304152697,0.9465459058992565
32,0.28136933711357415,0.024406737415120006,0.6759716959204525,0.9817477704491466
33,0.22888499964028597,0.13102982798591256,0.7067857100628316,1.0667005376890302
34,0.28456769278272986,0.11893942207098007,0.80430429847911,1.20781141333282
35,0.261309975059703,0.1020363240968436,0.8127882461994886,1.1761345453560352
36,0.3591613154858351,0.04579666117206216,0.6679290528409183,1.0728870294988155
37,0.3397406334988773,0.053874638862907887,0.5242672860622406,0.9178825584240258
38,0.27833278593607247,0.0899956461507827,0.5381695870310068,0.906498019117862
39,0.24728670879267156,0.07129470189101994,0.6570537146180868,0.9756351253017783
40,0.2885855834465474,0.07743501174263656,0.638646227074787,1.004666822263971
41,0.26591898244805634,0.16612634994089603,0.570116856135428,1.0021621885243803
42,0.3330914871767163,0.059828939847648144,0.5846743050497025,0.977594732074067
43,0.3726611970923841,0.01260242098942399,0.6911065988242626,1.0763702169060707
44,0.2976062416564673,0.03529209038242698,0.615460594650358,0.9483589266892523
45,0.27124657086096704,0.11443462176248431,0.7991272681392729,1.1848084607627243
46,0.34633785439655185,0.032744631404057145,0.9619332761503756,1.3410157619509846
47,0.3078104725573212,0.05140822473913431,0.8013295917771757,1.1605482890736312
48,0.2913075883407146,0.07182424003258348,0.6184145719744265,0.9815464003477246
49,0.1598369935527444,0.1361625746358186,0.7564824493601918,1.0524820175487548
50,0.38554341648705304,0.10543497581966221,0.7843653403688222,1.2753437326755375
51,0.3457185588777065,0.05036502308212221,0.5377583685331047,0.9338419504929334
52,0.21671266434714198,0.048282135277986526,0.4844811086077243,0.7494759082328528
53,0.28828445775434375,0.034954313887283206,0.8063086315523833,1.1295474031940103
54,0.2596059050410986,0.17082297592423856,0.4376162241678685,0.8680451051332057
55,0.23051833640784025,0.07249234453774989,1.045472246594727,1.3484829275403172
56,0.26974287955090404,0.02088504913263023,0.8764997364487499,1.1671276651322842
57,0.2554447303991765,0.20645155175589025,0.4278904583770782,0.8897867405321449
58,0.3079674888867885,0.0843654798809439,0.6470253616571426,1.039358330424875
59,0.30691985436715186,0.08301761583425105,0.5025328092742711,0.892470279475674
60,0.340793069684878,0.16600855416618288,0.8296742711681873,1.3364758950192481
61,0.30433442280627787,0.11795730399899185,0.4805204807780683,0.902812207583338
62,0.3216254892759025,0.030123629374429584,0.4996080396231264,0.8513571582734585
63,0.3381321565248072,0.04076663521118462,0.6815985748544335,1.0604973665904254
64,0.2643672451376915,0.0890464570838958,0.4533402118831873,0.8067539141047746
65,0.3734958462882787,0.022913975873962045,0.6773645863868296,1.0737744085490704
66,0.28350948938168585,0.049007810885086656,0.7543903263285756,1.0869076265953481
67,0.1890725758858025,0.1397541610058397,0.823148135561496,1.1519748724531382
68,0.3181661977432668,0.14046457991935313,0.7406602308619767,1.1992910085245967
69,0.24840595293790102,0.1145231006667018,0.6903645303100348,1.0532935839146376
70,0.28320753015577793,0.12744119600392878,0.6451714893337339,1.0558202154934406
71,0.2727545176167041,0.10370031534694135,0.9013268726412207,1.2777817056048661
72,0.34178933897055686,0.020494364900514483,0.6883954121731222,1.0506791160441935
73,0.25711902673356235,0.09542677155695856,0.645385158713907,0.9979309570044279
74,0.352203669026494,0.02895935089327395,0.6611656509339809,1.042328670853749
75,0.2995874425396323,0.09624058427289128,0.5766975348815322,0.9725255616940558
76,0.2493048890028149,0.05136533873155713,0.47093742806464434,0.7716076557990164
77,0.33321860362775624,0.03976839687675238,0.509241780731827,0.8822287812363356
78,0.35154999210499227,0.1024466035887599,0.7146512754261494,1.1686478711199015
79,0.25544843985699117,0.037285786122083664,0.8949170541018248,1.1876512800808996
80,0.20178136765025556,0.0839663005899638,0.7821505735628307,1.06789824180305
81,0.24044503783807158,0.038394192000851035,0.46615901426412165,0.7449982441030443
82,0.3317161197774112,0.05016276426613331,0.7486862516961992,1.1305651357397437
83,0.3343241922557354,0.03910672850906849,0.3688253608997911,0.742256281664595
84,0.31403506989590824,0.03920226194895804,0.8693001924548298,1.222537524299696
85,0.3408712609671056,0.08777112234383821,0.4952317797578871,0.923874163068831
86,0.28914346313104033,0.0405759506393224,0.6680289732757956,0.9977483870461583
87,0.2609513606876135,0.04539410583674908,0.8739551268517971,1.1803005933761597
88,0.34852733882144094,0.035071620950475335,0.6562366187572479,1.0398355785291642
89,0.3013646719045937,0.029680905397981405,0.4902274007909,0.8212729780934751
90,0.3272403737064451,0.10352826421149075,0.7117528782691807,1.1425215161871165
91,0.27402683766558766,0.08653965103439987,0.5343620292842388,0.8949285179842263
92,0.30207306146621704,0.0831114249303937,0.6660169989336282,1.051201485330239
93,0.29335629916749895,0.02964199800044298,0.9138040789403021,1.236802376108244
94,0.3650087947025895,0.07937542628496885,0.4840611924882978,0.9284454134758562
95,0.27044817293062806,0.11035063164308667,0.7276009009219706,1.1083997054956853
96,0.29642043448984623,0.09563760017044842,0.567711046198383,0.9597690808586776
97,0.25792152155190706,0.09202285204082727,0.8613234160002321,1.2112677895929664
98,0.27426520828157663,0.017936225747689605,0.7744132622610778,1.066614696290344
99,0.30756635614670813,0.11691401270218194,0.5309370334725827,0.9554174023214728
100,0.24860634934157133,0.07533910078927875,1.0432856283150613,1.3672310784459114
