parameter,value,lowband_lambda_min,lowband_lambda_mean,highband_frac
damping,0.055,0.010100,0.1697,
damping,0.06,0.020187,0.1614,
damping,0.07,0.017746,0.1791,
damping,0.08,0.037889,0.1626,
damping,0.09,0.014037,0.1635,
damping,0.1,0.031385,0.1897,
damping,0.2,-0.033418,0.0448,
damping,0.4,0.359938,0.4245,
coupling,0.2,0.046957,0.2009,
coupling,0.3,0.027069,0.1968,
coupling,0.4,0.043388,0.1901,
coupling,0.5,0.039270,0.1958,
coupling,0.6,0.044142,0.2116,
coupling,0.8,0.019290,0.2613,
coupling,1.0,0.012880,0.3078,
length,0.5,-0.103228,0.5000,
length,1.0,0.037620,0.1917,
length,2.0,0.074469,0.1821,
length,4.0,0.026989,0.1229,
mass,0.5,-0.022205,0.2555,
mass,1.0,0.005371,0.1911,
mass,1.5,0.065321,0.2143,
mass,2.0,0.060200,0.2281,
