profile,commit_interval_N,base_goodput_mbps,loss_goodput_mbps,effective_N,stationary_loss_rate,burst_len
clean,1,1.643355,1.643355,1.0,0.0,1.0
clean,4,1.643629,1.643629,4.0,0.0,1.0
clean,16,1.643376,1.643376,16.0,0.0,1.0
clean,64,1.647834,1.647834,64.0,0.0,1.0
clean,256,1.649046,1.649046,256.0,0.0,1.0
clean,1024,1.648787,1.648787,1024.0,0.0,1.0
light,1,1.643355,1.64335499916431,1.0029498525073746,0.0029411764705882353,2.0
light,4,1.643629,1.6436289966566826,4.011799410029498,0.0029411764705882353,2.0
light,16,1.643376,1.6433759866287891,16.047197640117993,0.0029411764705882353,2.0
light,64,1.647834,1.6478339463700697,64.18879056047197,0.0029411764705882353,2.0
light,256,1.649046,1.649045785322518,256.7551622418879,0.0029411764705882353,2.0
light,1024,1.648787,1.648786141425277,1027.0206489675516,0.0029411764705882353,2.0
default,1,1.643355,1.6433549905969496,1.0331912695337724,0.03212500000000001,2.857142857142857
default,4,1.643629,1.6436289623815281,4.1327650781350895,0.03212500000000001,2.857142857142857
default,16,1.643376,1.6433758495492838,16.531060312540358,0.03212500000000001,2.857142857142857
default,64,1.647834,1.6478333965647862,66.12424125016143,0.03212500000000001,2.857142857142857
default,256,1.649046,1.6490435844864653,264.49696500064573,0.03212500000000001,2.857142857142857
default,1024,1.648787,1.6487773395058398,1057.987860002583,0.03212500000000001,2.857142857142857
heavy,1,1.643355,1.6433549405986179,1.2096774193548387,0.17333333333333334,5.0
heavy,4,1.643629,1.643628762354881,4.838709677419355,0.17333333333333334,5.0
heavy,16,1.643376,1.6433750495662578,19.35483870967742,0.17333333333333334,5.0
heavy,64,1.647834,1.6478301879586468,77.41935483870968,0.17333333333333334,5.0
heavy,256,1.649046,1.6490307407252949,309.6774193548387,0.17333333333333334,5.0
heavy,1024,1.648787,1.6487259741817848,1238.7096774193549,0.17333333333333334,5.0
extreme,1,1.643355,1.6433546537458508,2.2222222222222223,0.55,10.0
extreme,4,1.643629,1.6436276147533517,8.88888888888889,0.55,10.0
extreme,16,1.643376,1.6433704598803263,35.55555555555556,0.55,10.0
extreme,64,1.647834,1.6478117796311131,142.22222222222223,0.55,10.0
extreme,256,1.649046,1.648957056749242,568.8888888888889,0.55,10.0
extreme,1024,1.648787,1.6484313404236184,2275.5555555555557,0.55,10.0
