bit_position,counter_epochs_to_detect,chaos_divergence_steps,chaos_divergence_time_sec,chaos_lyapunov_timescales,key_differs
0,0,5092,50.920000,75.400457,1
1,0,4405,44.050000,65.227614,1
2,0,4053,40.530000,60.015328,1
3,0,4053,40.530000,60.015328,1
4,0,4053,40.530000,60.015328,1
5,0,4053,40.530000,60.015328,1
6,0,3345,33.450000,49.531526,1
7,0,3345,33.450000,49.531526,1
8,0,3345,33.450000,49.531526,1
9,0,3345,33.450000,49.531526,1
10,0,3345,33.450000,49.531526,1
11,0,2986,29.860000,44.215586,1
12,0,2986,29.860000,44.215586,1
13,0,2986,29.860000,44.215586,1
14,0,2282,22.820000,33.791014,1
15,0,1607,16.070000,23.795863,1
16,0,1607,16.070000,23.795863,1
17,0,1289,12.890000,19.087036,1
18,0,1289,12.890000,19.087036,1
19,0,1077,10.770000,15.947819,1
20,0,1077,10.770000,15.947819,1
21,0,1077,10.770000,15.947819,1
22,0,1077,10.770000,15.947819,1
23,0,939,9.390000,13.904365,1
24,0,822,8.220000,12.171873,1
25,0,789,7.890000,11.683221,1
26,0,375,3.750000,5.552862,1
27,0,478,4.780000,7.078048,1
28,0,477,4.770000,7.063240,1
29,0,476,4.760000,7.048432,1
30,0,479,4.790000,7.092855,1
31,0,24,0.240000,0.355383,1
32,0,1,0.010000,0.014808,1
33,0,1,0.010000,0.014808,1
34,0,1,0.010000,0.014808,1
35,0,1,0.010000,0.014808,1
36,0,1,0.010000,0.014808,1
37,0,1,0.010000,0.014808,1
38,0,1,0.010000,0.014808,1
39,0,1,0.010000,0.014808,1
40,0,1,0.010000,0.014808,1
41,0,1,0.010000,0.014808,1
42,0,1,0.010000,0.014808,1
43,0,1,0.010000,0.014808,1
44,0,1,0.010000,0.014808,1
45,0,1,0.010000,0.014808,1
46,0,1,0.010000,0.014808,1
47,0,1,0.010000,0.014808,1
48,0,1,0.010000,0.014808,1
49,0,1,0.010000,0.014808,1
50,0,1,0.010000,0.014808,1
51,0,1,0.010000,0.014808,1
52,0,1,0.010000,0.014808,1
53,0,1,0.010000,0.014808,1
54,0,1,0.010000,0.014808,1
55,0,1,0.010000,0.014808,1
56,0,1,0.010000,0.014808,1
57,0,1,0.010000,0.014808,1
58,0,1,0.010000,0.014808,1
59,0,1,0.010000,0.014808,1
60,0,1,0.010000,0.014808,1
61,0,1,0.010000,0.014808,1
62,0,1,0.010000,0.014808,1
63,0,1,0.010000,0.014808,1
64,0,5092,50.920000,75.400457,1
65,0,4405,44.050000,65.227614,1
66,0,4053,40.530000,60.015328,1
67,0,4053,40.530000,60.015328,1
68,0,4053,40.530000,60.015328,1
69,0,4053,40.530000,60.015328,1
70,0,3345,33.450000,49.531526,1
71,0,3345,33.450000,49.531526,1
72,0,3345,33.450000,49.531526,1
73,0,3345,33.450000,49.531526,1
74,0,3345,33.450000,49.531526,1
75,0,2986,29.860000,44.215586,1
76,0,2986,29.860000,44.215586,1
77,0,2986,29.860000,44.215586,1
78,0,2282,22.820000,33.791014,1
79,0,1607,16.070000,23.795863,1
80,0,1607,16.070000,23.795863,1
81,0,1289,12.890000,19.087036,1
82,0,1289,12.890000,19.087036,1
83,0,1077,10.770000,15.947819,1
84,0,1077,10.770000,15.947819,1
85,0,1077,10.770000,15.947819,1
86,0,1077,10.770000,15.947819,1
87,0,939,9.390000,13.904365,1
88,0,822,8.220000,12.171873,1
89,0,789,7.890000,11.683221,1
90,0,375,3.750000,5.552862,1
91,0,478,4.780000,7.078048,1
92,0,477,4.770000,7.063240,1
93,0,476,4.760000,7.048432,1
94,0,479,4.790000,7.092855,1
95,0,24,0.240000,0.355383,1
96,0,1,0.010000,0.014808,1
97,0,1,0.010000,0.014808,1
98,0,1,0.010000,0.014808,1
99,0,1,0.010000,0.014808,1
100,0,1,0.010000,0.014808,1
101,0,1,0.010000,0.014808,1
102,0,1,0.010000,0.014808,1
103,0,1,0.010000,0.014808,1
104,0,1,0.010000,0.014808,1
105,0,1,0.010000,0.014808,1
106,0,1,0.010000,0.014808,1
107,0,1,0.010000,0.014808,1
108,0,1,0.010000,0.014808,1
109,0,1,0.010000,0.014808,1
110,0,1,0.010000,0.014808,1
111,0,1,0.010000,0.014808,1
112,0,1,0.010000,0.014808,1
113,0,1,0.010000,0.014808,1
114,0,1,0.010000,0.014808,1
115,0,1,0.010000,0.014808,1
116,0,1,0.010000,0.014808,1
117,0,1,0.010000,0.014808,1
118,0,1,0.010000,0.014808,1
