R,chaosseal_mean,chaosseal_std,counter_mean,counter_std,bpsec_mean,bpsec_std
1,1.644647,0.006237,1.635915,0.035845,1.597782,0.000000
2,1.628672,0.039152,1.654143,0.000769,1.597782,0.000000
4,1.647311,0.001765,1.654533,0.000515,1.597782,0.000000
8,1.643459,0.008148,1.653953,0.000447,1.597782,0.000000
16,1.644207,0.003480,1.651408,0.000901,1.597782,0.000000
32,1.636311,0.010333,1.647786,0.001098,1.597782,0.000000
64,1.622089,0.000650,1.626450,0.002812,1.597782,0.000000
128,1.546490,0.001063,1.551196,0.002417,1.597782,0.000000
256,1.304453,0.000461,1.305047,0.004876,1.597782,0.000000
512,0.801892,0.000552,0.803603,0.000191,1.597782,0.000000
