trial,lambda_min_nats_per_s,lambda_max_nats_per_s,highband_frac,lowband_mean_nats_per_s
1,0.760009387973696,74.88719789753668,0.161,1.5106573787723758
2,0.675534216221422,74.88403390860185,0.138,1.4881682517603925
3,0.6287763128057122,74.92289070272818,0.154,1.5003742460969474
4,0.6844806727021933,74.54016072163358,0.155,1.548818054116612
5,0.717375447973609,74.14608464343473,0.131,1.5198924065695087
6,0.7182227987796068,74.03905550716445,0.159,1.5362377060315928
7,0.7055988425854594,74.77716499241069,0.162,1.520029421360621
8,0.6830016511958092,74.86037052213214,0.128,1.4941067035022135
9,0.7638087382074445,74.76717499666847,0.153,1.5574571420105972
10,0.6432065099943429,74.80082948529162,0.142,1.5009971060250107
